id	vault	topic	difficulty	question	choice_a	choice_b	choice_c	choice_d	correct	explanation	source_key
M015	future	電影裡的科學	easy	NASA研究水耕馬鈴薯，說明種植一定要原生土嗎？	不一定，可設計水耕與養分循環	一定，沒有土就不能吸收養分	一定，水耕只能拍電影	不一定，植物不需任何介質或養分	A	水耕可供應養分與水，但仍需完整栽培管理。	movie_potato
M016	future	電影裡的科學	medium	密閉艙種植只要亮燈，就會無限長出食物嗎？	不會，仍需物質與環境管理	會，燈光能創造所有元素	會，種一次永遠不需維護	會，不必留意溫度	A	光提供能量，不會憑空製造植物所需全部元素。	movie_potato
M017	future	電影裡的科學	easy	深空食物系統為什麼不能只考慮熱量？	還要營養組成與可靠供應	太空人完全不需蛋白質	熱量單位在太空消失	所有作物營養都相同	A	多種作物與糧食配置有助滿足不同營養需求。	movie_potato
M018	future	電影裡的科學	medium	電影描繪一項可想像的技術，下一步如何檢查？	拆解物理原理與工程限制	只看視覺特效真不真	只看票房高不高	只看角色多有自信	A	科學與工程分析需要獨立來源，而非敘事說服力。	movie_consult
M019	future	電影裡的科學	easy	地球模擬環境種植成功，等於火星實地成功嗎？	不等於，實驗環境與任務環境不同	等於，只要土顏色接近	等於，電影也拍過	等於，不需後續研究	A	模擬實驗能測部分條件，無法一次涵蓋所有任務風險。	movie_potato
M020	future	電影裡的科學	medium	討論電影科學時，哪種說法最清楚？	先說哪段是設定，再說相關科學	把所有情節叫成真實發現	完全排除科學資料	只背角色台詞	A	保留欣賞作品的樂趣，同時分清設定、證據與未知。	movie_film
S051	cosmos	行星與衛星深度探索	easy	水星兩極能保存水冰，最重要的環境是？	深坑永久陰影	濃厚雲層降雪	海洋結冰	木星遮住太陽	A	永久陰影區長期不受陽光直射，能形成極冷陷阱。	solar_mercury
S052	cosmos	行星與衛星深度探索	medium	MESSENGER進入水星軌道花近七年，最能說明什麼？	航程受軌跡與減速需求影響	水星距離七光年	太空船只能每年移動一次	水星會躲避太空船	A	前往內行星也要處理太陽引力與入軌速度，不能只除距離。	mission_travel
S053	cosmos	行星與衛星深度探索	easy	金星的恆星日比公轉年更長，恆星日是？	相對遠方恆星自轉一圈	繞太陽一圈	兩次季節循環	雷達訊號往返時間	A	金星約243地球日自轉一圈，公轉約225日。	solar_venus
S054	cosmos	行星與衛星深度探索	medium	金星逆向自轉表示什麼？	方向與多數行星相反	永遠停止自轉	繞地球逆行	每天改變方向	A	逆向描述自轉方向，不表示不公轉或速度為零。	solar_venus
S055	cosmos	行星與衛星深度探索	easy	火星白天天空偏紅褐，主要與什麼有關？	懸浮細塵	海洋反光	茂密森林	純氧散射	A	細塵改變光的散射，火星不能直接套用地球藍天答案。	solar_mars
S056	cosmos	行星與衛星深度探索	medium	火衛一未來可能撞火星或形成環，原因是？	軌道正逐漸降低	火星突然變成黑洞	太陽停止發光	它被地球磁場拉走	A	火衛一受到潮汐作用，正緩慢靠近火星。	solar_phobos
S057	cosmos	行星與衛星深度探索	easy	木衛一大量火山的主要能量來源是？	潮汐形變加熱	地球雷射照射	濃厚溫室效應	核融合核心	A	木星與鄰近衛星的引力反覆拉扯木衛一內部。	solar_io
S058	cosmos	行星與衛星深度探索	medium	木衛一為何不是目前首選的宜居海洋世界？	強烈輻射與持續火山活動	完全沒有岩石	離太陽最近	表面全是液態水	A	其極端輻射和火山環境讓已知型生命很難生存。	solar_io
S059	cosmos	行星與衛星深度探索	easy	木衛三比水星大卻仍是衛星，分類依據是？	它主要繞木星運行	它沒有任何重力	它不是圓形	它位於地球內部	A	衛星或行星的分類涉及繞行對象，不只看直徑。	solar_ganymede
S060	cosmos	行星與衛星深度探索	medium	木衛三在太陽系衛星中特別之處是？	有自己的磁場	有可呼吸氧氣海洋	表面城市已確認	會自行核融合	A	木衛三是目前唯一已知具有自身磁場的衛星。	solar_ganymede
S061	cosmos	行星與衛星深度探索	easy	土衛六地表已知的湖海主要由什麼構成？	液態甲烷與乙烷	液態鐵	溫暖液態水	熔融玻璃	A	極低溫下，甲烷和乙烷能形成河流、湖泊與海。	solar_titan
S062	cosmos	行星與衛星深度探索	medium	土衛六上水冰可扮演類似地球哪種材料的角色？	岩石	雲朵	氧氣	木材	A	約零下179度的表面使水冰堅硬得像岩石。	solar_titan
S063	cosmos	行星與衛星深度探索	hard	土衛六有有機化學與液體，最嚴謹的結論是？	值得研究但尚未確認生命	必定遍地生物	有甲烷就等於生命	已發現外星文明	A	宜居線索與生命證據不是同一層級。	solar_titan
S064	cosmos	行星與衛星深度探索	medium	海衛一逆行軌道最支持哪種歷史？	可能被海王星捕獲	由海王星雲層直接噴出	原本是地球衛星	每天交換公轉方向	A	逆行且傾斜的軌道是捕獲來源的重要線索。	solar_triton
S065	cosmos	行星與衛星深度探索	easy	航海家二號在海王星看到的大黑斑最接近什麼？	大氣風暴系統	固體地面洞穴	外星城市陰影	永久海洋島嶼	A	海王星沒有可見固體表面，大黑斑屬大氣現象。	solar_neptune
S066	cosmos	行星與衛星深度探索	medium	天王星季節極端，與哪項特徵最相關？	自轉軸傾斜約98度	沒有繞太陽	表面全是火山	只在夜晚自轉	A	近乎側躺的自轉軸讓極區長時間朝向或背向太陽。	solar_uranus
S067	cosmos	行星與衛星深度探索	hard	稱天王星與海王星為冰巨行星，冰主要指？	形成材料中的水氨甲烷等揮發物	表面漂浮的普通冰塊	只有南極的霜	完全由純水組成	A	行星科學的冰是成分分類，深處可處於高壓高溫狀態。	solar_ice
S068	cosmos	行星與衛星深度探索	easy	木星可以讓太空船穿過整顆再從另一側出來嗎？	不能，壓力溫度會急遽升高	可以，內部完全真空	可以，中央有隧道	可以，因為氣體沒有質量	A	木星雖無固體地表，深處環境仍會摧毀太空船。	solar_jupiter
S069	cosmos	行星與衛星深度探索	hard	木星液態金屬氫導電，最可能參與產生什麼？	強大磁場	固體土壤	氧氣森林	彗星尾巴	A	導電流體運動可參與行星發電機作用。	solar_jupiter
S070	cosmos	宇宙地址與星際航行	easy	地球在八大行星中由太陽向外排第幾？	第三	第一	第六	第八	A	地球位於金星與火星之間，是第三顆行星。	solar_address
S071	cosmos	宇宙地址與星際航行	medium	太陽系繞銀河中心一圈大約需要？	約2.3億年	365天	24小時	8分鐘	A	這種尺度常被稱為一個銀河年。	solar_address
S072	cosmos	宇宙地址與星際航行	medium	日球層與歐特雲哪個通常延伸得更遠？	歐特雲	日球層	兩者都只到月球	兩者是同一物體	A	日球層由太陽風形成，太陽引力影響可延伸到遙遠歐特雲。	solar_heliosphere
S073	cosmos	宇宙地址與星際航行	hard	航海家進入星際空間卻仍未離開廣義太陽系，關鍵是？	已越日球層但仍遠未越歐特雲	它仍繞地球	星際空間不存在	太陽系只到火星	A	邊界答案取決於採太陽風或太陽引力的定義。	solar_heliosphere
S074	cosmos	宇宙地址與星際航行	easy	航海家二號從發射到飛掠海王星約多久？	12年	12天	12小時	120年	A	它1977年發射、1989年飛掠海王星。	mission_voyager2
S075	cosmos	宇宙地址與星際航行	easy	現代火星任務常見飛行時間約為？	7到10個月	8分鐘	一天	50年	A	實際航程依發射窗口與軌跡不同，常落在數月尺度。	mission_travel
S076	cosmos	宇宙地址與星際航行	medium	前往木星為何常要數年？	需兼顧軌道能量與任務設計	木星每晚關門	無線電推不動飛船	太陽系沒有木星	A	真實飛行不是把直線距離除以某個最高瞬時速度。	mission_travel
S077	cosmos	宇宙地址與星際航行	easy	太陽光到海王星軌道大約要多久？	約4.5小時	約4.5秒	約45天	約45年	A	光到地球約8分多鐘，到海王星軌道約4.5小時。	solar_oort
S078	cosmos	宇宙地址與星際航行	medium	用Parker最高速度估算所有行星航程，最大問題是？	把近太陽峰值當全程巡航速度	忘了速度有單位	行星沒有軌道	光速比它慢	A	峰值速度、軌跡、加減速和抵達方式都不能忽略。	solar_parker
S079	cosmos	宇宙地址與星際航行	hard	一天文單位與一光年最共同的性質是？	都是距離單位	都是時間單位	都是質量單位	都是溫度單位	A	名稱含年不代表光年是時間。	solar_address
S080	cosmos	宇宙地址與星際航行	medium	以現有已實現太空船技術前往比鄰星，最合理的描述是？	仍需數千到數萬年量級	已能一週抵達	每天有載人班次	光年就是一年可達	A	Parker峰值估算約6600年，Voyager速度則更久，且都非星際載人方案。	solar_proxima
A001	cosmos	小天體與行星防禦	easy	IAU目前正式承認的矮行星有幾顆？	五顆	一顆	八顆	數量等於衛星	A	目前為穀神星、冥王星、妊神星、鳥神星與鬩神星。	dwarf_overview
A002	cosmos	小天體與行星防禦	easy	唯一位於內太陽系的正式矮行星是？	穀神星	冥王星	鳥神星	鬩神星	A	穀神星位於火星與木星之間的小行星帶。	dwarf_ceres
A003	cosmos	小天體與行星防禦	medium	穀神星亮斑主要與什麼有關？	高反射鹽類沉積	城市夜景	液態鐵海	太陽表面物質	A	黎明號資料支持亮區含鹽，不是人工燈光。	dwarf_ceres
A004	cosmos	小天體與行星防禦	easy	鳥神星與鬩神星的發現帶來哪項影響？	促使天文界重思行星定義	證明冥王星消失	讓地球改變軌道	終止所有觀測	A	外太陽系類似天體增多，使分類標準必須一致。	dwarf_makemake
A005	cosmos	小天體與行星防禦	medium	冥王星成為矮行星，缺少行星定義的哪一項？	清空軌道鄰域	繞太陽運行	接近圓形	具有名稱	A	它與許多古柏帶天體共享軌道區域。	iau_planet
A006	cosmos	小天體與行星防禦	hard	「清空軌道鄰域」最接近哪種概念？	在軌道區域具動力學優勢	把所有灰塵掃乾淨	沒有任何衛星	表面一定光滑	A	它描述天體是否主導鄰近小天體的長期軌道。	iau_planet
A007	cosmos	小天體與行星防禦	easy	阿波菲斯將在哪一天安全近掠地球？	2029年4月13日	2026年9月8日	2061年1月1日	每年同一天	A	NASA確認2029年近掠不會撞擊地球。	asteroid_apophis
A008	cosmos	小天體與行星防禦	medium	目前對阿波菲斯撞擊風險最正確的說法是？	至少未來100年沒有撞擊風險	2029必定撞擊	明天就會撞擊	軌道完全未知	A	新增光學與雷達觀測已大幅精確化軌道。	asteroid_apophis
A009	cosmos	小天體與行星防禦	medium	阿波菲斯2029年近掠值得研究，主要因為？	可觀察地球引力如何改變它	能在表面開城市	它會點燃大氣百年	它已帶回樣本	A	罕見近掠提供研究軌道與表面變化的機會。	asteroid_apophis
A010	cosmos	小天體與行星防禦	easy	OSIRIS-REx從哪顆小行星帶回樣本？	貝努	阿波菲斯	靈神星	灶神星	A	樣本艙於2023年返回地球。	asteroid_bennu
A011	cosmos	小天體與行星防禦	medium	貝努樣本含有機物，能直接宣布什麼？	只能說有生命化學原料，不能宣布生命	已找到外星人	已找到恐龍化石	已證明所有小行星宜居	A	有機分子也能經非生物化學形成。	asteroid_bennu
A012	cosmos	小天體與行星防禦	easy	DART撞擊後，Dimorphos公轉週期約縮短多少？	32分鐘	32秒	32天	32年	A	撞擊將約11小時55分縮短至約11小時23分。	asteroid_dart
A013	cosmos	小天體與行星防禦	medium	DART任務示範的是哪種防禦方式？	動能撞擊偏轉	用聲音嚇走小行星	把地球移開	在月球挖洞	A	高速撞擊可讓目標軌道累積微小改變。	asteroid_dart
A014	cosmos	小天體與行星防禦	hard	DART成功後，為何不能說任何小行星都能同樣處理？	天體結構大小與預警時間不同	所有小行星完全相同	DART沒有撞擊	軌道力學已失效	A	真實策略必須依目標與時間條件設計。	asteroid_dart
A015	cosmos	小天體與行星防禦	easy	靈神星目前較合理的成分描述是？	岩石與金屬混合	整顆純金	全部液態水	中空玻璃球	A	分析估計金屬約占體積30%到60%。	asteroid_psyche
A016	cosmos	小天體與行星防禦	medium	把靈神星金屬直接換算成地球售價，忽略了什麼？	開採運輸市場與權利成本	它沒有任何質量	金屬沒有元素	地球不用貨幣	A	理論含量不等於可取得、可出售的資產價值。	asteroid_psyche
A017	cosmos	小天體與行星防禦	easy	木星特洛伊小行星主要聚集在哪裡？	木星軌道前後的L4與L5	地球南北極	太陽核心	月球背面城市	A	它們與木星共享繞日軌道的穩定區域。	asteroid_lucy
A018	cosmos	小天體與行星防禦	medium	Lucy研究特洛伊小行星，主要想理解什麼？	早期外行星形成材料	地球天氣預報	人體血型	黑洞內部照片	A	這些族群可能保存太陽系形成初期的線索。	asteroid_lucy
A019	cosmos	小天體與行星防禦	easy	哈雷彗星預計下一次回歸約在？	2061年	2029年	2100天後	每個月	A	它平均約76年回到內太陽系一次。	comet_halley
A020	cosmos	小天體與行星防禦	medium	哈雷彗星碎屑與哪些流星雨有關？	寶瓶座η與獵戶座	雙子座與象限儀座	只有英仙座	所有流星雨	A	同一顆彗星軌道碎屑可在不同交會處形成兩場流星雨。	comet_halley
A021	cosmos	小天體與行星防禦	easy	67P在探測史上的重要紀錄是？	首顆被太空船環繞並放下登陸器的彗星	首顆撞上地球的彗星	首顆自行發光的彗星	首顆變成恆星的彗星	A	羅塞塔環繞67P，菲萊登陸器到達其表面。	comet_67p
A022	cosmos	小天體與行星防禦	medium	67P發現甘胺酸與磷，最嚴謹的結論是？	找到重要化學成分但不是生命證據	已找到彗星人	彗星一定孕育森林	所有有機物都由生物製造	A	生命原料與生命本身必須分開。	comet_67p
A023	cosmos	小天體與行星防禦	easy	雙子座流星雨的主要母體是？	小天體3200 Phaethon	哈雷彗星	月球	比鄰星	A	它是少數主要與小行星型母體相關的流星雨。	meteor_geminids
A024	cosmos	小天體與行星防禦	medium	流星雨以星座命名，實際代表什麼？	流星路徑反推像從該處散開	碎片由那些恆星射出	星座會掉到地球	只有該星座可見	A	名稱來自天空中的輻射點，不是碎片真正起源的恆星。	meteor_geminids
A025	cosmos	小天體與行星防禦	hard	古柏帶與歐特雲最大的幾何差異是？	厚圓盤與遙遠球殼	兩者都是行星	兩者都在地球大氣	兩者已被完整拍成照片	A	歐特雲尚未直接成像，主要由長週期彗星軌道推論。	solar_oort
M021	future	科幻電影科學實驗室	easy	《星際效應》靠近黑洞時間變慢，對應哪種物理？	重力時間膨脹	聲音折射	化學燃燒	板塊運動	A	強重力會讓不同位置的時鐘累積不同時間。	movie_blackhole
M022	future	科幻電影科學實驗室	medium	靠近黑洞除了時間差，還要擔心什麼？	強烈潮汐力	空氣突然變甜	所有質量消失	行星停止公轉	A	重力梯度可拉伸或擠壓物體。	movie_blackhole
M023	future	科幻電影科學實驗室	hard	電影中一小時對多年，最嚴謹的理解是？	需極特殊黑洞與軌道條件	任何高速公路都會發生	每顆行星都固定如此	相對論說時間完全停止	A	概念源自相對論，數值不是一般黑洞旁的通則。	movie_blackhole
M024	future	科幻電影科學實驗室	easy	可穿越蟲洞目前屬於哪一層級？	理論模型，尚未觀測或建造	日常交通工具	已量產太空門	地球天然捷運	A	數學可能性不等於自然界已存在可用蟲洞。	morris_thorne
M025	future	科幻電影科學實驗室	medium	蟲洞要成為交通工具，仍缺少什麼？	可觀測證據與穩定工程方法	電影配樂	星座名稱	地球自轉	A	可穿越與穩定條件仍包含未知物理與工程難題。	morris_thorne
M026	future	科幻電影科學實驗室	easy	《地心引力》的碎片連鎖危機對應什麼概念？	凱斯勒效應	溫室效應	光電效應	都卜勒效應	A	碰撞生成更多碎片，可能提高後續碰撞風險。	movie_debris
M027	future	科幻電影科學實驗室	medium	太空人能否像電影一樣直線飄到任意太空站？	不能，須匹配軌道平面相位與速度	可以，所有站都固定不動	可以，真空會自動導航	可以，只要看得到就能到	A	軌道轉移需要能量與正確幾何，不是二維地圖直線。	movie_debris
M028	future	科幻電影科學實驗室	hard	軌道碎片很小也危險，主要因為？	相對速度很高	它們都有核彈	真空放大質量	每片都比月球大	A	高速微小物體也能造成嚴重撞擊能量。	movie_debris
M029	future	科幻電影科學實驗室	easy	太空戰鬥外部爆炸的聲音，現實中如何？	真空不會像空氣直接傳聲	一定比地球更響	每次都是超音波	光會自動變聲音	A	普通聲波需要粒子介質傳遞。	movie_sound
M030	future	科幻電影科學實驗室	medium	NASA公布的「太空聲音」常是什麼？	把儀器資料轉成可聽頻率	人在真空直接錄音	外星廣播的翻譯	恆星唱歌的空氣振動	A	資料聲化能協助分析，但不代表真空像空氣傳聲。	movie_sound
M031	future	科幻電影科學實驗室	easy	《2001太空漫遊》的旋轉艙用什麼產生類重力感？	旋轉造成的向心加速度	磁鐵吸引人體	艙內下雨	黑洞放在船底	A	艙壁支持力能讓人感到被壓向外側地板。	movie_artificial_gravity
M032	future	科幻電影科學實驗室	medium	旋轉人工重力強弱主要取決於？	半徑與角速度	電影票價	艙壁顏色	星座位置	A	半徑越大或轉速越高，可得到較大向心加速度。	movie_artificial_gravity
M033	future	科幻電影科學實驗室	hard	小半徑旋轉艙的常見人體問題是？	旋轉感與暈動不適	完全沒有慣性	氧氣自動消失	時間停止	A	頭腳加速度差與科氏效應可能造成不適。	movie_artificial_gravity
M034	future	科幻電影科學實驗室	easy	《星際大戰》外部雷射戰的音效主要屬於？	敘事與觀影效果	真空聲學紀錄	NASA任務錄音	行星大氣證據	A	真空中沒有足夠介質把普通聲波傳到另一艘船。	movie_sound
M035	future	科幻電影科學實驗室	medium	相對論時間膨脹能否讓飛船超越光速？	不能由時間膨脹直接推出	能，手錶慢就會超光速	能，只要關掉引擎	能，任何衛星都已做到	A	有質量物體接近光速需越來越多能量，時間差不是超光速引擎。	movie_relativity
M036	future	科幻電影科學實驗室	easy	《世界末日》式把小行星炸碎，最大風險是？	碎片可能仍沿相近軌道前進	碎片一定全部消失	地球引力會關閉	太陽會停止照明	A	破碎不等於偏轉，還可能產生多個威脅碎片。	asteroid_dart
M037	future	科幻電影科學實驗室	medium	DART示範比最後一刻爆破更重要的觀念是？	及早發現並累積微小軌道偏移	等到撞擊前一秒	只靠主角直覺	把地球塗成黑色	A	預警時間越長，所需速度改變可以越小。	asteroid_dart
M038	future	科幻電影科學實驗室	easy	《火星救援》中人在火星表面活動，現實首先需要？	加壓與生命維持裝備	普通雨衣	只戴墨鏡	不需任何防護	A	火星大氣稀薄、寒冷且主要是二氧化碳。	solar_mars
M039	future	科幻電影科學實驗室	medium	只吃馬鈴薯為何不是完整長期飲食？	營養種類與供應可靠性不足	馬鈴薯沒有任何熱量	澱粉在太空消失	植物不含水	A	作物可供熱量，但任務飲食仍需蛋白質、脂肪與微量營養素。	movie_potato
M040	future	科幻電影科學實驗室	hard	使用火星風化層栽培前，特別要評估哪種物質？	高氯酸鹽	純氮氣	可見光	普通水冰	A	高氯酸鹽等化學風險需要處理，不能把風化層等同土壤。	movie_toxic
M041	future	科幻電影科學實驗室	easy	《極限返航》最適合如何使用？	作為提問入口再查科學來源	當作真實任務新聞	當作工程規格書	當作外星生命證明	A	科幻能激發問題，但劇情不是觀測證據。	movie_film
M042	future	科幻電影科學實驗室	medium	電影出現外星微生物，現實中能推論什麼？	只代表創作設定	已證明宇宙有相同生物	NASA已採集樣本	所有恆星都有生命	A	現實仍只有地球生命獲確認，外星生命需要獨立證據。	movie_consult
M043	future	科幻電影科學實驗室	hard	雙生子效應分析為何要看完整往返路徑？	不同路徑累積的固有時間不同	只要比較誰年紀大	手錶品牌決定結果	加速度會讓光速消失	A	完整時空路徑打破只看單一等速航段的對稱說法。	movie_relativity
M044	future	科幻電影科學實驗室	medium	黑洞會像宇宙吸塵器吸走所有遠方物體嗎？	不會，遠處仍依重力與軌道運動	會，整個宇宙立刻消失	會，只吸收沒有光的物體	不會，因為黑洞沒有質量	A	同質量下遠處引力不會神奇增強，接近事件視界才出現極端效果。	movie_blackhole
M045	future	科幻電影科學實驗室	easy	分析任何科幻橋段最穩妥的三步驟是？	分清設定、找原理、查工程限制	先看票房再判真偽	只相信角色台詞	特效越真就越科學	A	好分析既保留故事樂趣，也不把想像冒充實證。	movie_film
S001	cosmos	太陽系驚奇之旅	easy	水星滿臉坑洞，外觀最像哪個熟悉天體？	月球	木星雲帶	太陽光球	土星環	A	水星的岩石表面布滿撞擊坑，但它不是月球。	solar_mercury
S002	cosmos	太陽系驚奇之旅	easy	水星最近太陽卻不是最熱，關鍵差別是？	大氣保溫能力不同	水星沒有白天	太陽照不到水星	水星靠冷氣降溫	A	水星外逸層極稀薄，金星的濃厚大氣造成強烈溫室效應。	solar_mercury
S003	cosmos	太陽系驚奇之旅	easy	水星一年約88個地球日，這裡的一年是？	繞太陽一圈	自轉一圈	兩次日出的間隔	繞地球一圈	A	公轉週期、自轉週期和太陽日是不同概念。	solar_mercury
S004	cosmos	太陽系驚奇之旅	medium	可見光照片裡金星明亮的外衣，主要是？	濃厚雲層	金屬地表	液態水海洋	岩石環	A	雲層遮住地表，不能把雲頂外觀直接當地表。	solar_venus
S005	cosmos	太陽系驚奇之旅	medium	哪種觀測能協助描繪金星雲下地形？	雷達	只看肉眼顏色	聽真空中的回音	測量土星環	A	雷達提供雲下地形資訊，不同波段的觀測能互補。	solar_venus
S006	cosmos	太陽系驚奇之旅	easy	金星雲滴的重要成分是什麼？	硫酸	液態鐵	液態氧	牛奶	A	金星雲含硫酸液滴，與地球水雲不同。	solar_venus
S007	cosmos	太陽系驚奇之旅	easy	地球海洋大約覆蓋多少地表？	七成	一成	三成	全部	A	海洋覆蓋約71%地表，還有陸地與冰雪。	solar_earth
S008	cosmos	太陽系驚奇之旅	easy	太空照片裡地球大片白色旋渦常是？	雲系	白色油漆	月球投影	海洋全部結冰	A	雲反射陽光，形狀隨天氣系統變化。	solar_earth
S009	cosmos	太陽系驚奇之旅	medium	目前只確認地球有生命，能推論什麼？	其他世界仍須研究	別處一定沒有生命	有水就必定有生命	有雲就代表生命	A	唯一已知不等於唯一可能，須分清已知與未知。	solar_earth
S010	cosmos	太陽系驚奇之旅	medium	火星整體偏紅，主要與什麼有關？	鐵氧化物	紅色海洋	燃燒的煤	人造油漆	A	表面塵埃和岩石中的鐵氧化物影響火星顏色。	solar_mars
S011	cosmos	太陽系驚奇之旅	easy	火星奧林帕斯山是哪種地形？	巨大火山	冰撞擊坑	珊瑚礁	人造金字塔	A	奧林帕斯山是大型盾狀火山。	solar_mars
S012	cosmos	太陽系驚奇之旅	easy	古河道支持火星過去有流水，也就找到生物了嗎？	沒有，還需生命證據	有，水只能由生物製造	有，河道都是生物挖的	不必再研究	A	水活動與生命存在需要不同證據。	solar_mars
S013	cosmos	太陽系驚奇之旅	easy	木星的大紅斑其實是什麼？	巨大風暴	固定岩石山	小行星撞出的洞	紅色海洋島嶼	A	大紅斑屬大氣風暴，不是地面的斑塊。	solar_jupiter
S014	cosmos	太陽系驚奇之旅	medium	木星明暗條紋主要展現什麼？	雲帶與大氣流動	條紋大陸	金屬管線	裸露岩石層	A	照片主要看到大氣雲帶，而非固體地板。	solar_jupiter
S015	cosmos	太陽系驚奇之旅	medium	氣態巨行星可以讓太空船安全穿過嗎？	不能，深處高溫高壓	可以，內部是真空	可以，氣體沒有阻力	可以，只要收起天線	A	木星不是空心氣球，深處物質緻密且環境極端。	solar_jupiter
S016	cosmos	太陽系驚奇之旅	easy	土星本體常見的色調比較接近？	淡黃褐色雲帶	透明無色	均勻鮮紅	純黑無反光	A	土星可見外觀以淡黃褐色雲層為主。	solar_saturn
S017	cosmos	太陽系驚奇之旅	easy	土星平均密度低於水，最合理的理解是？	比較整體質量與體積的比例	曾把土星放進海裡	內部每處都比水輕	土星沒有質量	A	平均密度不代表所有內部層次都有相同密度。	solar_saturn
S018	cosmos	太陽系驚奇之旅	easy	為何土星環不能當作一整片光碟？	粒子各自沿軌道運行	環完全是幻覺	固定黏在赤道	環是連續金屬板	A	環是大量粒子集合，不是連續承重平面。	solar_saturn
S019	cosmos	太陽系驚奇之旅	medium	哪顆行星像側躺著轉的藍綠球？	天王星	水星	火星	金星	A	天王星自轉軸傾斜約98度，日照與季節很特殊。	solar_uranus
S020	cosmos	太陽系驚奇之旅	medium	天王星偏藍綠，跟哪種氣體吸收紅光有關？	甲烷	液態金	食用色素	煤灰	A	甲烷的選擇性吸收影響外觀顏色。	solar_uranus
S021	cosmos	太陽系驚奇之旅	easy	冰巨行星表示深處全是普通冰塊嗎？	不是，可能有高溫高壓物態	是，核心必定低於零度	是，完全沒有流體	是，能滑到中心	A	冰是成分分類用語，不能直接套用冰箱裡的物態。	solar_uranus
S022	cosmos	太陽系驚奇之旅	easy	海王星大黑斑最接近哪種現象？	會變化的大氣風暴	永久洞穴入口	被挖走的大陸	外星建築	A	暗斑屬大氣現象，個別風暴可以消失或新生。	solar_neptune
S023	cosmos	太陽系驚奇之旅	easy	海王星很遠，大氣因此完全不動嗎？	不是，它有很強的風	是，氣體不會流動	是，完全沒有大氣	是，只有地球有風	A	海王星具有強烈的大氣運動。	solar_neptune
